天数 开始时间 停止时间 事件（sleep1，class2，study3，nga4，bili5，game6）（从凌晨百词斩到晚上回宿舍为一天整）（class是去教室花费的时间，或者上课花费的时间）(study指的是听张宇考研数学课以及写数学题）（nga指的是逛知乎论坛贴吧NGAcc98）（bili指的是看各种游戏视频动画番剧真人vlog）
1 0 2 6
1 2 9 1
1 9 9.5 2
1 9.5 10 6
1 10 10.5 4
1 13 13.5 6
1 13.5 14 3
1 14 15 1
1 15 16 5
1 16 17 3
1 19 19.5 5
1 19.5 20.5 6
1 20.5 21.5 3
1 21.5 22.5 5
2 0.5 1 3
2 1 2.5 5
2 2.5 9.5 1
2 9.5 10 2
2 11 11.5 5
2 11.5 12 3
2 14 15.5 3
2 15.5 16 5
2 16 16.5 3
2 16.5 17 5
2 18 19.5 6
2 19.5 20.5 5
2 20.5 22 3
3 0.5 1 3
3 1 2 6
3 2 10 1
3 10 10.5 2
3 10.5 11.5 6
3 11.5 12.5 3
3 13.5 14.5 6
3 14.5 15.5 3
3 15.5 16 5
3 16 17.5 3
3 18.5 20 6
3 20 21 5
3 21 22.5 3
4 0.5 2 5
4 2 9 1
4 9 9.5 2
4 9.5 10.5 5
4 10.5 11.5 3
4 13 14 6
4 14 15.5 3
4 15.5 16.5 4
4 16.5 17.5 3
4 18 19.5 5
4 19.5 20.5 3
4 20.5 21 1
4 21 22.5 3
5 1 2.5 4
5 2.5 10 1
5 10 11 3
5 11 11.5 2
5 11.5 12.5 6
5 13 14 6
5 14 15 5
5 15 17 3
5 17 17.5 4
5 18.5 20 5
5 20 22 3
6 0.5 1 3
6 1 2 4
6 2 7.5 1
6 7.5 10 2
6 12.5 13.5 6
6 14.5 15.5 1
6 16 17.5 1
6 18.5 20 5
6 20 20.5 4
6 20.5 22.5 3
7 0 0.5 3
7 0.5 2 5
7 2 9 1
7 9 9.5 2
7 9.5 10 5
7 10 11 3
7 11 11.5 1
7 11.5 12.5 3
7 13.5 14.5 1
7 14.5 15.5 3
7 18 20 5
7 20 21 3
7 21 21.5 4
7 21.5 22.5 3
8 0 0.5 6
8 0.5 1.5 4
8 1.5 9.5 1
8 9.5 10 2
8 10 10.5 4
8 10.5 11.5 3
8 13 14 5
8 14 15 3
8 15 16 6
8 16 17 3
8 18.5 20 5
8 22 22.5 3
9 0.5 1 3
9 1 1.5 4
9 1.5 9.5 1
9 9.5 10 2
9 10 11 5
9 11 12 3
9 13 14.5 6
9 16 17 3
9 18.5 20 5
9 20 22 3
9 23.5 24 6
10 0 0.5 6
10 0.5 1 4
10 1 1.5 3
10 1.5 2.5 4
10 2.5 10 1
10 10 10.5 2
10 10.5 11 6
10 13.5 14 4
10 14 15 3
10 15 15.5 1
10 15.5 17.5 3
10 18.5 20 5
10 20 22.5 3
10 23.5 24 3
11 1 9.5 1
11 9.5 10 2
11 10 11 4
11 11 12 3
11 13.5 15.5 3
11 16 17 3
11 18.5 19.5 5
11 19.5 21 3
11 21 21.5 4
11 21.5 22.5 3
12 0 1.5 4
12 1.5 10.5 1
12 10.5 11 2
12 11 12.5 3
12 13.5 14.5 6
12 14.5 15.5 3
12 15.5 16 6
12 16 17 3
12 18 19 6
12 19 19.5 4
12 19.5 21 3
12 21 22 4
12 22.5 23 3
13 0.5 1.5 4
13 1.5 9 1
13 9 9.5 2
13 9.5 10 6
13 10 11 5
13 11 12 3
13 13.5 14.5 5
13 14.5 16.5 3
13 16.5 17 4
13 17 17.5 5
13 18.5 19.5 5
13 19.5 20 6
13 20 22 5
13 22 23 3
14 1.5 3 5
14 3 8.5 1
14 8.5 10.5 2
14 10.5 12 4
14 13 13.5 6
14 13.5 14 3
14 14 14.5 6
14 14.5 15.5 3
14 15.5 16 1
14 16 17 3
14 17 17.5 5
14 18.5 20 5
14 20 23 3
15 0 0.5 5
15 0.5 1.5 4
15 1.5 9.5 1
15 9.5 10.5 2
15 10.5 11 3
15 11 11.5 5
15 13 14 6
15 14 16 3
15 16 16.5 4
15 16.5 17.5 3
15 18.5 19.5 5
15 19.5 21 3
15 21 22 2
15 22 22.5 3
16 1.5 2 4
16 2 9 1
16 9 10.5 2
16 10.5 11 1
16 11 12 2
16 12.5 13.5 1
16 13.5 16.5 2
16 17.5 19 2
16 19 21 6
16 21 24 2
17 0 1 2
17 1 2 4
17 2 8.5 1
17 8.5 11 2
17 11 12.5 4
17 13.5 14 4
17 14 15 3
17 15 15.5 1
17 15.5 16.5 3
17 16.5 17 5
17 18.5 19.5 5
17 19.5 20.5 3
17 20.5 21 5
17 21 22 3
17 22 22.5 4
17 22.5 23 3
18 0 1 4
18 1 9.5 1
18 9.5 11 2
18 11 12 6
18 13.5 15 2
18 15 16 3
18 16 17 6
18 17.5 18.5 6
18 18.5 19 3
18 19 19.5 1
18 19.5 21 2
18 21 21.5 6
18 21.5 23 3
19 0 1.5 4
19 1.5 9 1
19 9 9.5 2
19 9.5 10.5 3
19 10.5 11.5 6
19 11.5 12 5
19 13 14 6
19 14 15.5 3
19 15.5 16 6
19 16 17 3
19 18 19 6
19 19 21 2
19 21 21.5 4
19 21.5 22.5 2
19 22.5 23 3
20 0 1 4
20 1 8.5 1
20 8.5 10 6
20 10 11 5
20 11 12.5 3
20 13.5 15 2
20 15 15.5 1
20 15.5 17 2
20 18.5 19.5 5
20 19.5 21 4
20 21 22.5 3
20 23 24 6
21 0 1 5
21 1 1.5 6
21 1.5 9 1
21 9 9.5 2
21 9.5 10.5 3
21 10.5 11.5 5
21 13 13.5 5
21 13.5 14.5 3
21 14.5 15.5 4
21 15.5 16.5 3
21 16.5 17 5
21 18.5 19.5 5
21 19.5 20.5 1
21 20.5 22.5 2
21 22.5 23 3
22 0 1 4
22 1 8.5 1
22 8.5 9 2
22 9 9.5 6
22 9.5 11.5 3
22 12.5 14.5 5
22 14.5 16.5 2
22 18 19 5
22 19 20 4
22 20 21.5 2
22 21.5 23 3
23 0.5 1.5 4
23 1.5 8.5 1
23 8.5 9 2
23 9 10.5 2
23 10.5 12 4
23 13 16 2
23 16 17 6
23 18.5 19.5 5
23 19.5 20.5 4
23 20.5 23 3
24 0.5 1.5 4
24 1.5 9.5 1
24 9.5 11.5 2
24 13.5 14.5 2
24 14.5 16 1
24 16 17 5
24 18 18.5 6
24 18.5 19.5 3
24 19.5 21.5 5
24 21.5 23 3
25 0.5 2.5 5
25 2.5 8.5 1
25 8.5 10.5 2
25 10.5 11.5 3
25 12.5 14.5 5
25 14.5 15.5 3
25 15.5 16 4
