天数 开始时间 停止时间 事件（sleep1，class2，study3，nga4，bili5，game6）（从凌晨百词斩到晚上回宿舍为一天整）
1 2 9 1
1 9 9.5 2
1 9.5 10 6
1 10 10.5 4
1 13 13.5 6
1 13.5 14 3
1 14 15 1
1 15 16 5
1 16 17 3
1 19 19.5 5
1 19.5 20.5 6
1 20.5 21.5 3
1 21.5 22.5 5
2 0.5 1 3
2 1 2.5 5
2 2.5 9.5 1
2 9.5 10 2
2 11 11.5 5
2 11.5 12 3
2 14 15.5 3
2 15.5 16 5
2 16 16.5 3
2 16.5 17 5
2 18 19.5 6
2 19.5 20.5 5
2 20.5 22 3
3 0.5 1 3
3 1 2 6
3 2 10 1
3 10 10.5 2
3 10.5 11.5 6
3 11.5 12.5 3
3 13.5 14.5 6
3 14.5 15.5 3
3 15.5 16 5
3 16 17.5 3
3 18.5 20 6
3 20 21 5
3 21 22.5 3
4 0.5 2 5
4 2 9 1
4 9 9.5 2
4 9.5 10.5 5
4 10.5 11.5 3
4 13 14 6
4 14 15.5 3
4 15.5 16.5 4
4 16.5 17.5 3
4 18 19.5 5
4 19.5 20.5 3
4 20.5 21 1
4 21 22.5 3
5 1 2.5 4
5 2.5 10 1
5 10 11 3
5 11 11.5 2
5 11.5 12.5 6
5 13 14 6
5 14 15 5
5 15 17 3
5 17 17.5 4
5 18.5 20 5
5 20 22 3
6 0.5 1 3
6 1 2 4
6 2 7.5 1
6 7.5 10 2
6 12.5 13.5 6
6 14.5 15.5 1
6 16 17.5 1
6 18.5 20 5
6 20 20.5 4
6 20.5 22.5 3
7 0 0.5 3
7 0.5 2 5
7 2 9 1
7 9 9.5 2
7 9.5 10 5
7 10 11 3
7 11 11.5 1
7 11.5 12.5 3
7 13.5 14.5 1
7 14.5 15.5 3
7 18 20 5
7 20 21 3
7 21 21.5 4
7 21.5 22.5 3
8 0 0.5 6
8 0.5 1.5 4
8 1.5 9.5 1
8 9.5 10 2
8 10 10.5 4
8 10.5 11.5 3
8 13 14 5
8 14 15 3
8 15 16 6
8 16 17 3
8 18.5 20 5
8 22 22.5 3
9 0.5 1 3
9 1 1.5 4
9 1.5 9.5 1
9 9.5 10 2
9 10 11 5
9 11 12 3
9 13 14.5 6
9 16 17 3
9 18.5 20 5
9 20 22 3
10 0 0.5 6
10 0.5 1 4
10 1 1.5 3
10 1.5 2.5 4
10 2.5 10 1
10 10 10.5 2
10 10.5 11 6
10 13.5 14 4
10 14 15 3
10 15 15.5 1
10 15.5 17.5 3
10 18.5 20 5
10 20 22.5 3
